"","F.halfmax","Northsea","Coas","W_Baltic","Faroe","NE_Arctic","Celtic","Iceland","Kat","W_Scotland","NGulf","GB","GM","3NO","3M","2J3KL","3Ps"
"198",1.97,0.2713605869375,0.239189046416561,0.127491561992497,0.184082531924184,0.234856215995703,0.335392423415561,0.244694064694359,0.134122554589617,0.207502113113923,0.105353297764285,0.138203984966655,0.12843695485071,0.149506650417792,0.186460589153769,0.107630650142713,0.163455640430719
"199",1.98,0.270471028045947,0.238294611224809,0.126818650731508,0.183340042233363,0.2339889261488,0.334402751296254,0.2438463898822,0.133504962238605,0.206712906303263,0.104882906197582,0.137560444251645,0.127809246710185,0.148909486934332,0.185547480575407,0.1072120852661,0.162844307564033
"200",1.99,0.269587938367269,0.237407011831327,0.126151920245751,0.182603701000313,0.233128436949462,0.333419695899877,0.24300497236044,0.132893036279277,0.205930239126389,0.104416807009545,0.136922725423893,0.127187250917209,0.148317532188277,0.184642445799726,0.106797189627258,0.162238025208486
"201",2,0.268711243188181,0.236526167405962,0.125491289220323,0.181873430651568,0.232274665517094,0.33244318615803,0.242169739537952,0.132286697766034,0.205154028399745,0.103954940108345,0.136290750791106,0.126570890842564,0.147730715242194,0.183745381854311,0.106385912869976,0.161636727832118
"202",2.01,0.267840868964321,0.235651998410362,0.124836677737046,0.181149154919443,0.23142753033068,0.331473152050306,0.241340619974763,0.131685869199669,0.204384192360226,0.103497246531938,0.1356644440294,0.12596009120848,0.14714896646368,0.182856187438023,0.105978205574751,0.161040351058954
"203",2.02,0.266976743297295,0.234784426572189,0.124188007244894,0.18043079881467,0.230586951201192,0.330509524585115,0.240517543358958,0.131090474495008,0.203620650635591,0.103043668421583,0.135043730153656,0.125354778059307,0.146572217495497,0.181974762889098,0.105574019236934,0.160448831643413
"204",2.03,0.266118794912264,0.233923374859933,0.123545200531153,0.179718288599723,0.229752849244654,0.329552235780912,0.239700440484139,0.130500438949389,0.202863324215607,0.102594148996105,0.134428535488627,0.12475487873294,0.146000401226521,0.181101010153922,0.105173306245502,0.159862107445391
"205",2.04,0.265266953636061,0.233068767458337,0.122908181693307,0.179011551762802,0.228925146855844,0.328601218647844,0.238889243227427,0.129915689211975,0.202112135423874,0.102148632526868,0.13381878764079,0.124160321832979,0.14543345176347,0.180234832756476,0.104776019862398,0.159280117406001
"206",2.05,0.264421150375806,0.232220529744379,0.122276876111622,0.178310516992457,0.228103767682616,0.327656407169784,0.238083884527995,0.129336153253858,0.201367007890337,0.101707064313444,0.133214415470899,0.123571037201591,0.144871304403395,0.179376135768427,0.104382114202461,0.158702801523956
"207",2.06,0.263581317098031,0.231378588263832,0.121651210422417,0.177615114152836,0.227288636600823,0.326717736286753,0.237284298366106,0.128761760338943,0.200627866524451,0.101269390659954,0.132615349067242,0.122986955893067,0.144313895606906,0.178524825779853,0.103991544213895,0.158130100832559
