"","Age","mat1","growth","Vul1","M_G","M_P","FISH","SURVM_G","SURVM_P","SurvshipM_G","SurvshipM_P","egg_productionM_G","egg_productionM_P","codNames"
"46",5,0.0573241758988688,1.78464967945376,0.0573241758988688,0.196,0.112,0,0.822012234678187,0.894044257500357,0.456576049623315,0.638904684031916,0.814828300606514,1.14022103955907,"NE_Arctic"
"47",6,0.133541722533212,2.66159448129642,0.133541722533212,0.196,0.112,0,0.822012234678187,0.894044257500357,0.375311098851399,0.571209063848815,0.99892594947218,1.5203268920065,"NE_Arctic"
"48",7,0.280900342583616,3.65839124975742,0.280900342583616,0.196,0.112,0,0.822012234678187,0.894044257500357,0.308510315066365,0.510686183366188,1.12865143709869,1.86828986459887,"NE_Arctic"
"49",8,0.497500020833125,4.74053150832982,0.497500020833125,0.196,0.112,0,0.822012234678187,0.894044257500357,0.253599253508974,0.456576049623315,1.20219525174821,2.16441314918808,"NE_Arctic"
"50",9,0.71504210570099,5.87608280185715,0.71504210570099,0.196,0.112,0,0.822012234678187,0.894044257500357,0.208461689089631,0.408199195277923,1.22493814610568,2.39861227110453,"NE_Arctic"
"51",10,0.864127102990906,7.03710069787804,0.864127102990906,0.196,0.112,0,0.822012234678187,0.894044257500357,0.171358058893357,0.364948146454494,1.20586391582547,2.56817685610421,"NE_Arctic"
"52",11,0.941585444457604,8.20015221798967,0.941585444457604,0.196,0.112,0,0.822012234678187,0.894044257500357,0.140858420921045,0.326279794623039,1.15506049273823,2.67554398156333,"NE_Arctic"
"53",12,0.976107310589417,9.34630343895391,0.976107310589417,0.196,0.112,0,0.822012234678187,0.894044257500357,0.115787345354549,0.291708576721124,1.08218366407456,2.72639687378099,"NE_Arctic"
"54",1,0.0497365115585567,0.326801255412984,0.0497365115585567,0.719,0.45,0,0.487239251673205,0.637628151621773,1,1,0.326801255412984,0.326801255412984,"Celtic"
"55",2,0.336261302595647,1.54144165112342,0.336261302595647,0.719,0.45,0,0.487239251673205,0.637628151621773,0.487239251673205,0.637628151621773,0.751050876591285,0.982866590838641,"Celtic"
"56",3,0.830616103065981,3.18243688732116,0.830616103065981,0.719,0.45,0,0.487239251673205,0.637628151621773,0.237402088371065,0.406569659740599,0.755517163159155,1.29388228242409,"Celtic"
"57",4,0.979366702773094,4.78148091935681,0.979366702773094,0.719,0.45,0,0.487239251673205,0.637628151621773,0.115671615883574,0.259240260645892,0.553081624258479,1.23955235980742,"Celtic"
"58",5,0.997828146254796,6.12281587869697,0.997828146254796,0.719,0.45,0,0.487239251673205,0.637628151621773,0.056359751562943,0.165298888221587,0.345080381789003,1.01209465753409,"Celtic"
"59",6,0.999775183229767,7.16042142562702,0.999775183229767,0.719,0.45,0,0.487239251673205,0.637628151621773,0.0274606831760161,0.105399224561864,0.196630064175901,0.754702865797247,"Celtic"
"60",7,0.999976769006201,7.92564853605367,0.999976769006201,0.719,0.45,0,0.487239251673205,0.637628151621773,0.0133799227211171,0.0672055127397498,0.106044564927133,0.532647273660534,"Celtic"
"61",8,0.999997599905389,8.4735431667082,0.999997599905389,0.719,0.45,0,0.487239251673205,0.637628151621773,0.00651922353408239,0.0428521268670402,0.0552409220294672,0.363109346793121,"Celtic"
"62",9,0.99999975204046,8.85848066466334,0.99999975204046,0.719,0.45,0,0.487239251673205,0.637628151621773,0.00317642159623665,0.0273237224472926,0.0281382692930815,0.242046666985969,"Celtic"
"63",10,0.999999974382754,9.12561529534812,0.999999974382754,0.719,0.45,0,0.487239251673205,0.637628151621773,0.00154767728154896,0.0174223746394935,0.0141235074727659,0.158989888491447,"Celtic"
"64",1,0.00333480730741334,0.0489649351841283,0.00333480730741334,0.229,0.138,0,0.795328533505094,0.871098691745798,1,1,0.0489649351841283,0.0489649351841283,"Iceland"
"65",2,0.00892441520843131,0.328498740571749,0.00892441520843131,0.229,0.138,0,0.795328533505094,0.871098691745798,0.795328533505094,0.871098691745798,0.2612644215972,0.286154823152193,"Iceland"
"66",3,0.0236605781554612,0.933148613594655,0.0236605781554612,0.229,0.138,0,0.795328533505094,0.871098691745798,0.632547476207363,0.758812930761241,0.590260800455699,0.708085234317549,"Iceland"
"67",4,0.061226162819908,1.86848395970344,0.061226162819908,0.229,0.138,0,0.795328533505094,0.871098691745798,0.50308305662435,0.661000951265913,0.940002621701176,1.23506967478907,"Iceland"
"68",5,0.149312934530844,3.09394620071806,0.149312934530844,0.229,0.138,0,0.795328533505094,0.871098691745798,0.400116309656305,0.575797063890465,1.23793833610645,1.78148513820852,"Iceland"
"69",6,0.320821300824607,4.5489442510525,0.320821300824607,0.229,0.138,0,0.795328533505094,0.871098691745798,0.318223917790419,0.501576069066056,1.44758286138013,2.28164157584355,"Iceland"
"70",7,0.559713649267193,6.16813009815526,0.559713649267193,0.229,0.138,0,0.795328533505094,0.871098691745798,0.253092561862499,0.436922257574441,1.56110784844331,2.69499332749886,"Iceland"
"71",8,0.773818574269454,7.88979891499576,0.773818574269454,0.229,0.138,0,0.795328533505094,0.871098691745798,0.201291736067149,0.380602406967716,1.5881513208202,3.00287645753866,"Iceland"
"72",9,0.902031195702446,9.66001382514682,0.902031195702446,0.229,0.138,0,0.795328533505094,0.871098691745798,0.16009306125298,0.33154225878488,1.54650118501386,3.20270280348234,"Iceland"
"73",10,0.961208865539764,11.4341516408181,0.961208865539764,0.229,0.138,0,0.795328533505094,0.871098691745798,0.127326579630674,0.288806027885956,1.45587141940383,3.30225191763036,"Iceland"
"74",11,0.985225968306727,13.1769617328206,0.985225968306727,0.229,0.138,0,0.795328533505094,0.871098691745798,0.101266461853883,0.251578553059757,1.33438429266676,3.3150409664668,"Iceland"
"75",12,0.994458868408073,14.8618291439037,0.994458868408073,0.229,0.138,0,0.795328533505094,0.871098691745798,0.0805401065994986,0.219149748441655,1.19697330351354,3.25696611826935,"Iceland"
"76",13,0.997933849959954,16.4696691281293,0.997933849959954,0.229,0.138,0,0.795328533505094,0.871098691745798,0.0640558448701231,0.190901059163946,1.05497857073371,3.14407728063964,"Iceland"
"77",14,0.999231268671258,17.9877084830888,0.999231268671258,0.229,0.138,0,0.795328533505094,0.871098691745798,0.0509454411629848,0.166293662890601,0.916391744182121,2.99124193066116,"Iceland"
"78",1,0.0567861808087885,0.0209714204837794,0.0567861808087885,0.913,0.168,0,0.401318460910542,0.845353834684659,1,1,0.0209714204837794,0.0209714204837794,"Kat"
"79",2,0.35205919791935,0.13892513147219,0.35205919791935,0.913,0.168,0,0.401318460910542,0.845353834684659,0.401318460910542,0.845353834684659,0.055753219944214,0.117440892624086,"Kat"
"80",3,0.830616103065981,0.389893531063574,0.830616103065981,0.913,0.168,0,0.401318460910542,0.845353834684659,0.161056507067606,0.714623105816057,0.0627948902413545,0.278626926106241,"Kat"
"81",4,0.97790367784663,0.771746111518246,0.97790367784663,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0646349495359995,0.604109382855865,0.0498817709725857,0.466219067150701,"Kat"
"82",5,0.997502588628866,1.26394101643745,0.997502588628866,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0259391984688179,0.510686183366188,0.0327856168782504,0.645477213684422,"Kat"
"83",6,0.999722663052879,1.83903249553153,0.999722663052879,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0104098792067591,0.43171052342908,0.0191441061357879,0.793929681249004,"Kat"
